timestamp_utc,time_elapsed_s,message_type,t_raw,v_volts,i_mA,state,temp_celsius,message
2026-04-17T16:39:36.546489,0.079,telemetry,3070,18.000,0.000,0,25.250,"T:3070, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:36.646836,0.179,telemetry,3080,18.000,0.000,0,25.250,"T:3080, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:36.745330,0.277,telemetry,3090,17.000,0.000,0,25.250,"T:3090, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:36.846245,0.378,telemetry,3100,18.000,0.000,0,25.250,"T:3100, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:36.944789,0.477,telemetry,3110,18.000,0.000,0,25.250,"T:3110, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.045711,0.578,telemetry,3120,18.000,0.000,0,25.250,"T:3120, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.144249,0.676,telemetry,3130,17.000,0.000,0,25.250,"T:3130, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.245223,0.777,telemetry,3140,18.000,0.000,0,25.250,"T:3140, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.343721,0.876,telemetry,3150,18.000,0.000,0,25.250,"T:3150, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.444638,0.977,telemetry,3160,17.000,0.000,0,25.250,"T:3160, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.543178,1.075,telemetry,3170,18.000,0.000,0,25.250,"T:3170, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.644087,1.176,telemetry,3180,17.000,0.000,0,25.250,"T:3180, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.742615,1.275,telemetry,3190,18.000,0.000,0,25.250,"T:3190, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.843566,1.376,telemetry,3200,18.000,0.000,0,25.250,"T:3200, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:37.942066,1.474,telemetry,3210,17.000,0.000,0,25.250,"T:3210, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.042978,1.575,telemetry,3220,17.000,0.000,0,25.250,"T:3220, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.141529,1.674,telemetry,3230,17.000,0.000,0,25.250,"T:3230, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.242450,1.775,telemetry,3240,17.000,0.000,0,25.250,"T:3240, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.340981,1.873,telemetry,3250,18.000,0.000,0,25.250,"T:3250, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.441883,1.974,telemetry,3260,18.000,0.000,0,25.250,"T:3260, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.540444,2.073,telemetry,3270,18.000,0.000,0,25.250,"T:3270, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.641323,2.173,telemetry,3280,18.000,0.000,0,25.250,"T:3280, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.739860,2.272,telemetry,3290,18.000,0.000,0,25.250,"T:3290, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.840792,2.373,telemetry,3300,18.000,0.000,0,25.250,"T:3300, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:38.939329,2.471,telemetry,3310,18.000,0.000,0,25.250,"T:3310, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:39.040251,2.572,telemetry,3320,18.000,0.000,0,25.250,"T:3320, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:39.138801,2.671,telemetry,3330,18.000,0.000,0,25.250,"T:3330, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:39.239726,2.772,telemetry,3340,17.000,0.000,0,25.250,"T:3340, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:39.338246,2.870,telemetry,3350,18.000,0.000,0,25.450,"T:3350, V:18, I:0 mA, Temp:25.45 C, STATE:0"
2026-04-17T16:39:39.439145,2.971,telemetry,3360,17.000,0.000,0,25.450,"T:3360, V:17, I:0 mA, Temp:25.45 C, STATE:0"
2026-04-17T16:39:39.537681,3.070,telemetry,3370,18.000,0.000,0,25.250,"T:3370, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:39.638622,3.171,telemetry,3380,18.000,0.000,0,25.250,"T:3380, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:39.737111,3.269,telemetry,3390,18.000,0.000,0,25.250,"T:3390, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:39.837989,3.370,telemetry,3400,18.000,0.000,0,25.250,"T:3400, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:39.936498,3.469,telemetry,3410,18.000,0.000,0,25.250,"T:3410, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.037396,3.569,telemetry,3420,17.000,0.000,0,25.250,"T:3420, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.135912,3.668,telemetry,3430,19.000,0.000,0,25.250,"T:3430, V:19, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.236808,3.769,telemetry,3440,18.000,0.000,0,25.250,"T:3440, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.335357,3.867,telemetry,3450,18.000,0.000,0,25.250,"T:3450, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.436263,3.968,telemetry,3460,18.000,0.000,0,25.250,"T:3460, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.534792,4.067,telemetry,3470,18.000,0.000,0,25.250,"T:3470, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.635672,4.168,telemetry,3480,17.000,0.000,0,25.250,"T:3480, V:17, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.734198,4.266,telemetry,3490,18.000,0.000,0,25.250,"T:3490, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.835113,4.367,telemetry,3500,18.000,0.000,0,25.250,"T:3500, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:40.933661,4.466,telemetry,3510,18.000,0.000,0,25.250,"T:3510, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:41.034560,4.567,telemetry,3520,18.000,0.000,0,25.250,"T:3520, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:41.133101,4.665,telemetry,3530,18.000,0.000,0,25.250,"T:3530, V:18, I:0 mA, Temp:25.25 C, STATE:0"
2026-04-17T16:39:41.234201,4.766,telemetry,3540,18.000,0.000,0,25.250,"T:3540, V:18, I:0 mA, Temp:25.25 C, STATE:0"
