timestamp_utc,time_elapsed_s,message_type,t_raw,v_volts,i_mA,state,temp_celsius,message
2026-04-29T13:56:16.948388,4.032,telemetry,256500,13.000,7.000,0,-0.980,"T:256500, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.046931,4.131,telemetry,256510,15.000,7.000,0,-0.980,"T:256510, V:15, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.147818,4.232,telemetry,256520,13.000,7.000,0,-0.980,"T:256520, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.246329,4.330,telemetry,256530,14.000,7.000,0,-0.980,"T:256530, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.347227,4.431,telemetry,256540,13.000,7.000,0,-0.980,"T:256540, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.445756,4.530,telemetry,256550,14.000,6.000,0,-0.980,"T:256550, V:14, I:6 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.546637,4.631,telemetry,256560,14.000,7.000,0,-0.980,"T:256560, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.645149,4.729,telemetry,256570,13.000,7.000,0,-0.980,"T:256570, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.746048,4.830,telemetry,256580,13.000,7.000,0,-0.980,"T:256580, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.844563,4.929,telemetry,256590,13.000,7.000,0,-0.980,"T:256590, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:17.945466,5.029,telemetry,256600,14.000,7.000,0,-0.980,"T:256600, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.043999,5.128,telemetry,256610,14.000,7.000,0,-0.980,"T:256610, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.144934,5.229,telemetry,256620,14.000,6.000,0,-0.980,"T:256620, V:14, I:6 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.243502,5.328,telemetry,256630,14.000,7.000,0,-0.980,"T:256630, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.344429,5.428,telemetry,256640,14.000,7.000,0,-0.980,"T:256640, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.442955,5.527,telemetry,256650,13.000,7.000,0,-0.980,"T:256650, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.543865,5.628,telemetry,256660,14.000,7.000,0,-0.980,"T:256660, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.642411,5.726,telemetry,256670,14.000,7.000,0,-0.980,"T:256670, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.743317,5.827,telemetry,256680,14.000,7.000,0,-0.980,"T:256680, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.841856,5.926,telemetry,256690,14.000,7.000,0,-0.980,"T:256690, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:18.942757,6.027,telemetry,256700,14.000,6.000,0,-0.980,"T:256700, V:14, I:6 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.041297,6.125,telemetry,256710,13.000,7.000,0,-0.980,"T:256710, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.142202,6.226,telemetry,256720,14.000,8.000,0,-0.980,"T:256720, V:14, I:8 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.240740,6.325,telemetry,256730,13.000,7.000,0,-0.980,"T:256730, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.341651,6.426,telemetry,256740,14.000,7.000,0,-0.980,"T:256740, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.440181,6.524,telemetry,256750,14.000,7.000,0,-0.980,"T:256750, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.541095,6.625,telemetry,256760,14.000,7.000,0,-0.980,"T:256760, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.639630,6.724,telemetry,256770,15.000,8.000,0,-0.980,"T:256770, V:15, I:8 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.740522,6.825,telemetry,256780,13.000,7.000,0,-0.980,"T:256780, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.839053,6.923,telemetry,256790,14.000,7.000,0,-0.980,"T:256790, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:19.940446,7.024,telemetry,256800,14.000,7.000,0,-0.980,"T:256800, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.038484,7.123,telemetry,256810,14.000,7.000,0,-0.980,"T:256810, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.139381,7.223,telemetry,256820,14.000,7.000,0,-0.980,"T:256820, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.237916,7.322,telemetry,256830,15.000,7.000,0,-0.980,"T:256830, V:15, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.338806,7.423,telemetry,256840,13.000,7.000,0,-0.980,"T:256840, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.437336,7.521,telemetry,256850,13.000,7.000,0,-0.980,"T:256850, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.538214,7.622,telemetry,256860,13.000,6.000,0,-0.980,"T:256860, V:13, I:6 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.636772,7.721,telemetry,256870,14.000,7.000,0,-0.980,"T:256870, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.737843,7.822,telemetry,256880,14.000,6.000,0,-0.980,"T:256880, V:14, I:6 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.836329,7.920,telemetry,256890,14.000,7.000,0,-0.980,"T:256890, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:20.937188,8.021,telemetry,256900,14.000,7.000,0,-0.980,"T:256900, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.035771,8.120,telemetry,256910,14.000,7.000,0,-0.980,"T:256910, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.136640,8.221,telemetry,256920,14.000,7.000,0,-0.980,"T:256920, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.235153,8.319,telemetry,256930,14.000,8.000,0,-0.980,"T:256930, V:14, I:8 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.336043,8.420,telemetry,256940,14.000,6.000,0,-0.980,"T:256940, V:14, I:6 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.434570,8.519,telemetry,256950,14.000,7.000,0,-0.980,"T:256950, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.535499,8.620,telemetry,256960,13.000,6.000,0,-0.980,"T:256960, V:13, I:6 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.634076,8.718,telemetry,256970,14.000,8.000,0,-0.980,"T:256970, V:14, I:8 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.734886,8.819,telemetry,256980,14.000,7.000,0,-0.980,"T:256980, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.833412,8.917,telemetry,256990,15.000,7.000,0,-0.980,"T:256990, V:15, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:21.933762,9.018,telemetry,257000,14.000,7.000,0,-0.980,"T:257000, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:22.032923,9.117,telemetry,257010,13.000,7.000,0,-0.980,"T:257010, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:22.133284,9.217,telemetry,257020,13.000,7.000,0,-0.980,"T:257020, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:22.232268,9.316,telemetry,257030,14.000,7.000,0,-0.980,"T:257030, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:22.332676,9.417,telemetry,257040,14.000,7.000,0,-0.980,"T:257040, V:14, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:22.431706,9.516,telemetry,257050,13.000,7.000,0,-0.980,"T:257050, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:22.533697,9.618,telemetry,257060,13.000,7.000,0,-0.980,"T:257060, V:13, I:7 mA, Temp:-0.98 C, STATE:0"
2026-04-29T13:56:22.631204,9.715,telemetry,257070,14.000,8.000,0,-0.910,"T:257070, V:14, I:8 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:22.732053,9.816,telemetry,257080,15.000,7.000,0,-0.910,"T:257080, V:15, I:7 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:22.830592,9.915,telemetry,257090,16.000,7.000,0,-0.910,"T:257090, V:16, I:7 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:22.931560,10.016,telemetry,257100,14.000,7.000,0,-0.910,"T:257100, V:14, I:7 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:23.030015,10.114,telemetry,257110,14.000,7.000,0,-0.910,"T:257110, V:14, I:7 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:23.130976,10.215,telemetry,257120,14.000,7.000,0,-0.910,"T:257120, V:14, I:7 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:23.229454,10.313,telemetry,257130,15.000,7.000,0,-0.910,"T:257130, V:15, I:7 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:23.330326,10.414,telemetry,257140,14.000,7.000,0,-0.910,"T:257140, V:14, I:7 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:23.428967,10.513,telemetry,257150,14.000,6.000,0,-0.720,"T:257150, V:14, I:6 mA, Temp:-0.72 C, STATE:0"
2026-04-29T13:56:23.529836,10.614,telemetry,257160,13.000,6.000,0,-0.720,"T:257160, V:13, I:6 mA, Temp:-0.72 C, STATE:0"
2026-04-29T13:56:23.628285,10.712,telemetry,257170,14.000,7.000,0,-0.720,"T:257170, V:14, I:7 mA, Temp:-0.72 C, STATE:0"
2026-04-29T13:56:23.729218,10.813,telemetry,257180,14.000,7.000,0,-0.720,"T:257180, V:14, I:7 mA, Temp:-0.72 C, STATE:0"
2026-04-29T13:56:23.827720,10.912,telemetry,257190,14.000,7.000,0,-0.910,"T:257190, V:14, I:7 mA, Temp:-0.91 C, STATE:0"
2026-04-29T13:56:23.928661,11.013,telemetry,257200,15.000,8.000,0,-0.910,"T:257200, V:15, I:8 mA, Temp:-0.91 C, STATE:0"
